problem,model,function,input,expected,output,is_correct,time_taken
dp_001,claude,maxProfit,5,5,5,True,8.999952115118504e-06
dp_001,claude,maxProfit,0,0,0,True,2.200016751885414e-06
dp_002,claude,getRow,"[1, 3, 3, 1]","[1, 3, 3, 1]","[1, 3, 3, 1]",True,9.300012607127428e-06
dp_002,claude,getRow,[1],[1],[1],True,9.00006853044033e-07
dp_002,claude,getRow,"[1, 1]","[1, 1]","[1, 1]",True,1.00000761449337e-06
dp_003,claude,fib,1,1,1,True,6.199989002197981e-06
dp_003,claude,fib,2,2,2,True,2.600019797682762e-06
dp_003,claude,fib,3,3,3,True,8.00006091594696e-07
dp_004,claude,generate,"[[1], [1, 1], [1, 2, 1], [1, 3, 3, 1], [1, 4, 6, 4, 1]]","[[1], [1, 1], [1, 2, 1], [1, 3, 3, 1], [1, 4, 6, 4, 1]]","[[1], [1, 1], [1, 2, 1], [1, 3, 3, 1], [1, 4, 6, 4, 1]]",True,1.190003240481019e-05
dp_004,claude,generate,[[1]],[[1]],[[1]],True,1.100008375942707e-06
dp_005,claude,getMaximumGenerated,3,3,3,True,9.400013368576765e-06
dp_005,claude,getMaximumGenerated,1,1,1,True,1.600012183189392e-06
dp_005,claude,getMaximumGenerated,2,2,2,True,1.200009137392044e-06
dp_006,claude,minCostClimbingStairs,15,15,15,True,9.000010322779417e-06
dp_006,claude,minCostClimbingStairs,6,6,6,True,3.0999653972685337e-06
dp_007,claude,divisorGame,True,True,True,True,1.8300022929906845e-05
dp_007,claude,divisorGame,False,False,False,True,7.00005330145359e-07
dp_008,claude,isSubsequence,True,True,True,True,6.200047209858894e-06
dp_008,claude,isSubsequence,False,False,False,True,1.600012183189392e-06
dp_009,claude,findLength,3,3,3,True,2.1099986042827368e-05
dp_009,claude,findLength,5,5,5,True,1.0299962013959885e-05
dp_010,claude,soupServings,0.625,0.625,0.625,True,8.600007276982069e-06
dp_010,claude,soupServings,0.71875,0.71875,0.71875,True,7.700000423938036e-06
dp_011,claude,subarrayBitwiseORs,1,1,1,True,2.2499996703118086e-05
dp_011,claude,subarrayBitwiseORs,3,3,3,True,4.699977580457926e-06
dp_011,claude,subarrayBitwiseORs,6,6,6,True,2.500019036233425e-06
dp_012,claude,mctFromLeafValues,32,32,32,True,1.9599974621087313e-05
dp_012,claude,mctFromLeafValues,44,44,44,True,4.8999791033566e-06
dp_013,claude,maximumScoreAfterOperations,,11,10,False,2.239999594166875e-05
dp_013,claude,maximumScoreAfterOperations,,40,39,False,2.0000035874545574e-05
dp_014,claude,squareFreeSubsets,3,3,3,True,0.0006073999684303999
dp_014,claude,squareFreeSubsets,1,1,1,True,3.519997699186206e-05
dp_015,claude,maxResult,,7,8,False,0.0009769999887794256
dp_015,claude,maxResult,17,17,17,True,8.79995059221983e-06
dp_015,claude,maxResult,,0,5,False,4.700035788118839e-06
dp_016,claude,coinChange,3,3,3,True,2.8399983420968056e-05
dp_016,claude,coinChange,-1,-1,-1,True,3.1999661587178707e-06
dp_016,claude,coinChange,0,0,0,True,4.00003045797348e-07
dp_017,claude,minFlips,2,2,2,True,1.9799976143985987e-05
dp_017,claude,minFlips,0,0,0,True,5.299982149153948e-06
dp_017,claude,minFlips,1,1,1,True,2.1099986042827368e-05
dp_018,claude,maxAlternatingSum,7,7,7,True,4.800036549568176e-06
dp_018,claude,maxAlternatingSum,8,8,8,True,1.100008375942707e-06
dp_018,claude,maxAlternatingSum,10,10,10,True,1.200009137392044e-06
dp_019,claude,minimumVisitedCells,-1,-1,-1,True,2.6500027161091566e-05
dp_019,claude,minimumVisitedCells,-1,-1,-1,True,4.4300046283751726e-05
dp_020,claude,maxEnvelopes,3,3,3,True,4.190002800896764e-05
dp_020,claude,maxEnvelopes,1,1,1,True,5.799985956400633e-06
dp_021,claude,dieSimulator,34,34,34,True,7.529999129474163e-05
dp_021,claude,dieSimulator,30,30,30,True,2.0300038158893585e-05
dp_021,claude,dieSimulator,181,181,181,True,3.779999678954482e-05
dp_022,claude,sellingWood,19,19,19,True,2.3600005079060793e-05
dp_022,claude,sellingWood,32,32,32,True,3.3999967854470015e-05
dp_023,claude,maxProfit,2,2,2,True,7.399998139590025e-06
dp_023,claude,maxProfit,7,7,7,True,1.0200019460171461e-05
dp_024,claude,cheapestJump,"[1, 3, 5]","[1, 3, 5]","[1, 3, 5]",True,1.8600025214254856e-05
dp_024,claude,cheapestJump,[],[],[],True,4.600035026669502e-06
dp_025,claude,uniqueLetterString,10,10,10,True,1.73999578692019e-05
dp_025,claude,uniqueLetterString,,8,6,False,1.950003206729889e-05
dp_025,claude,uniqueLetterString,,92,85,False,4.600035026669502e-06
dp_026,claude,numWays,4,4,4,True,4.9399968702346087e-05
dp_026,claude,numWays,2,2,2,True,3.1999661587178707e-06
dp_026,claude,numWays,8,8,8,True,3.300025127828121e-06
dp_027,claude,beautifulPartitions,3,3,3,True,3.819999983534217e-05
dp_027,claude,beautifulPartitions,1,1,1,True,9.600014891475439e-06
dp_027,claude,beautifulPartitions,1,1,1,True,6.199989002197981e-06
dp_028,claude,maxDotProduct,18,18,18,True,7.860001642256975e-05
dp_028,claude,maxDotProduct,21,21,21,True,8.399947546422482e-06
dp_028,claude,maxDotProduct,-1,-1,-1,True,5.100038833916187e-06
