problem,model,function,input,expected,output,is_correct,time_taken
dp_001,human,maxProfit,5,5,5,True,6.499991286545992e-06
dp_001,human,maxProfit,0,0,0,True,2.3999891709536314e-06
dp_002,human,getRow,"[1, 3, 3, 1]","[1, 3, 3, 1]","[1, 3, 3, 1]",True,1.200000406242907e-05
dp_002,human,getRow,[1],[1],[1],True,1.9000144675374031e-06
dp_002,human,getRow,"[1, 1]","[1, 1]","[1, 1]",True,1.0999792721122503e-06
dp_003,human,fib,1,1,1,True,4.2000028770416975e-06
dp_003,human,fib,2,2,2,True,1.3999815564602613e-06
dp_003,human,fib,3,3,3,True,7.00005330145359e-07
dp_004,human,generate,"[[1], [1, 1], [1, 2, 1], [1, 3, 3, 1], [1, 4, 6, 4, 1]]","[[1], [1, 1], [1, 2, 1], [1, 3, 3, 1], [1, 4, 6, 4, 1]]","[[1], [1, 1], [1, 2, 1], [1, 3, 3, 1], [1, 4, 6, 4, 1]]",True,1.3599987141788006e-05
dp_004,human,generate,[[1]],[[1]],[[1]],True,1.1999800335615873e-06
dp_005,human,getMaximumGenerated,3,3,3,True,1.1900003300979733e-05
dp_005,human,getMaximumGenerated,1,1,1,True,2.5999906938523054e-06
dp_005,human,getMaximumGenerated,2,2,2,True,1.200009137392044e-06
dp_006,human,minCostClimbingStairs,15,15,15,True,6.500020390376449e-06
dp_006,human,minCostClimbingStairs,6,6,6,True,2.400018274784088e-06
dp_007,human,divisorGame,True,True,True,True,2.800021320581436e-06
dp_007,human,divisorGame,False,False,False,True,1.2999807950109243e-06
dp_008,human,isSubsequence,True,True,True,True,9.300012607127428e-06
dp_008,human,isSubsequence,False,False,False,True,2.1999876480549574e-06
dp_009,human,findLength,3,3,3,True,1.4499993994832039e-05
dp_009,human,findLength,5,5,5,True,6.80002267472446e-06
dp_010,human,soupServings,0.625,0.625,0.625,True,2.2899999748915434e-05
dp_010,human,soupServings,0.71875,0.71875,0.71875,True,2.4899985874071717e-05
dp_011,human,subarrayBitwiseORs,1,1,1,True,7.499998901039362e-06
dp_011,human,subarrayBitwiseORs,3,3,3,True,4.4000043999403715e-06
dp_011,human,subarrayBitwiseORs,6,6,6,True,2.8999929782003164e-06
dp_012,human,mctFromLeafValues,32,32,32,True,1.9500002963468432e-05
dp_012,human,mctFromLeafValues,44,44,44,True,3.9700011257082224e-05
dp_013,human,maximumScoreAfterOperations,11,11,11,True,5.3800002206116915e-05
dp_013,human,maximumScoreAfterOperations,40,40,40,True,1.0899995686486363e-05
dp_014,human,squareFreeSubsets,3,3,3,True,0.00028840001323260367
dp_014,human,squareFreeSubsets,1,1,1,True,3.640001523308456e-05
dp_015,human,maxResult,7,7,7,True,0.0008262000046670437
dp_015,human,maxResult,17,17,17,True,6.999995093792677e-06
dp_015,human,maxResult,0,0,0,True,3.9000005926936865e-06
dp_016,human,coinChange,3,3,3,True,1.2600008631125093e-05
dp_016,human,coinChange,-1,-1,-1,True,2.8999929782003164e-06
dp_016,human,coinChange,0,0,0,True,1.2999807950109243e-06
dp_017,human,minFlips,2,2,2,True,1.8499995348975062e-05
dp_017,human,minFlips,0,0,0,True,4.1000021155923605e-06
dp_017,human,minFlips,1,1,1,True,2.7999922167509794e-06
dp_018,human,maxAlternatingSum,7,7,7,True,5.799985956400633e-06
dp_018,human,maxAlternatingSum,8,8,8,True,1.100008375942707e-06
dp_018,human,maxAlternatingSum,10,10,10,True,1.400010660290718e-06
dp_019,human,minimumVisitedCells,-1,-1,-1,True,1.920000067912042e-05
dp_019,human,minimumVisitedCells,-1,-1,-1,True,7.700000423938036e-06
dp_020,human,maxEnvelopes,3,3,3,True,2.1099986042827368e-05
dp_020,human,maxEnvelopes,1,1,1,True,1.7099984688684344e-05
dp_021,human,dieSimulator,34,34,34,True,3.029999788850546e-05
dp_021,human,dieSimulator,30,30,30,True,1.200000406242907e-05
dp_021,human,dieSimulator,181,181,181,True,2.1199986804276705e-05
dp_022,human,sellingWood,19,19,19,True,4.2400002712383866e-05
dp_022,human,sellingWood,32,32,32,True,3.1499977922067046e-05
dp_023,human,maxProfit,2,2,2,True,1.2800010154023767e-05
dp_023,human,maxProfit,7,7,7,True,5.0000089686363935e-06
dp_024,human,cheapestJump,"[1, 3, 5]","[1, 3, 5]","[1, 3, 5]",True,1.8699996871873736e-05
dp_024,human,cheapestJump,[],[],[],True,3.7999998312443495e-06
dp_025,human,uniqueLetterString,10,10,10,True,2.479998511262238e-05
dp_025,human,uniqueLetterString,8,8,8,True,4.5000051613897085e-06
dp_025,human,uniqueLetterString,92,92,92,True,9.899988071992993e-06
dp_026,human,numWays,4,4,4,True,6.150000263005495e-05
dp_026,human,numWays,2,2,2,True,8.099974365904927e-06
dp_026,human,numWays,8,8,8,True,8.90000956133008e-06
dp_027,human,beautifulPartitions,3,3,3,True,2.9300019377842546e-05
dp_027,human,beautifulPartitions,1,1,1,True,1.2900010915473104e-05
dp_027,human,beautifulPartitions,1,1,1,True,8.399976650252938e-06
dp_028,human,maxDotProduct,18,18,18,True,2.069998299703002e-05
dp_028,human,maxDotProduct,21,21,21,True,5.1000097300857306e-06
dp_028,human,maxDotProduct,-1,-1,-1,True,3.200024366378784e-06
